ID,Description,English,Indonesian,Semantic_Field,Elicitation_Notes,Core_Set,Concepticon_ID,Comment
one,,one,satu,Quantity,,,1493,
raised_platform,,raised platform,bale-bale,The house,,,3177,
year,,year,tahun,Time,,,1226,
to_call_out,,call out,teriak,Speech and language,,,1084,
lake,,lake,danau,The physical world,,,624,
child,,child,anak,Kinship,,,2099,
how_much_how_many,,how much; how many?,berapa?,Cognition,,,531,
taro,,taro,keladi,Agriculture and vegetation,,,351,
coral_rock,,coral (rock),batu karang,The physical world,,,3179,
sole_of_foot,,sole of foot,tapak (kaki),The body,Or ‘telapak’,,2666,
chest,,chest,dada,The body,,,1592,
to_bathe,,bathe,mandi,The body,,,138,
correct,,correct,benar,Emotions and values,,,1725,Keraf: ‘betul’
water,,water (fresh),air,The physical world,,,948,
stomach_belly,,stomach; belly,perut,The body,,,2114,Includes the forms in Keraf (1978) for ‘isi perut’.
to_spit,,spit,ludah,The body,,,1440,
snow,,snow,salju,The physical world,,,784,
sorcerer,,sorcerer; witch,tukang sihir,Religion and belief,,,823,
to_wait,,wait,tunggu,Spatial relations,,,1590,
and,,and,dan,Cognition,,,1577,
rice_grains,,rice grain head,bulir padi,Agriculture and vegetation,"If there is a distinction between unhusked rice still on the harvested plant and rice corns in the husks, but removed from the grain head, take the one for the first meaning.",,2749,
rice_plant,,rice plant,padi,Agriculture and vegetation,,,2026,
good,,good,baik,Emotions and values,,,1035,
to_wipe,,wipe,seka; lap,Basic actions and technology,,,1454,
shoulder,,shoulder,bahu,The body,,,1482,
to_fight,,fight,berkelahi,Warfare and hunting,,,1423,
to_shoot_with_slingshot,,shoot with slingshot,tembak dengan katapel,Warfare and hunting,,,3180,
sick_painful,,sick; painful,sakit,The body,"There may be several words, e.g. sakit setelah dipukul (pain felt after being hit); sakit luka (pain of a wound), or sakit demam (have a fever). We look for the word used for sakit demam.",,2103,
cookhouse,,cookhouse; kitchen,tempat memasak; dapur,The house,,,334,
sixty,,sixty,enam puluh,Quantity,,,1718,
ear,,ear,telinga,The body,,,1247,
tail,,tail,ekor,The body,,,1220,
dust,,dust; fine earth,debu,The physical world,,,2,
rain,,rain,hujan,The physical world,,,658,
sweet,,sweet,manis,Sense perception,,,717,
who,,who?,siapa?,Cognition,,,1235,
dolphin,,dolphin,(ikan) lumba-lumba,Animals,,,1479,
wind,,wind,angin,The physical world,,,960,
younger_sibling,,younger sibling,adik,Kinship,,,427,
navel,,navel,pusat,The body,,,1838,
scared,,scared,takut,Emotions and values,,,1419,
alive,,live; be alive; living,hidup (tidak mati),The body,,,1422,
to_refuse,,refuse,menolak,Speech and language,,,49,
cross_cousin,,cross-cousin,sepupu; yg bisa dikawin,Kinship,,,3162,
ringworm,,ringworm,kurap,The body,,,3171,"The overlap with ‘tinea’ is high, both are types of dermaphytosis, yet from the sampled lexicon they appear as two consistent, distinct concepts."
to_burn_clear_land,,burn (clear land),bakar (kebun),Agriculture and vegetation,,,141,Keraf: ‘membakar’
mothers_brother,,mother's brother,paman; ibu py saudara laki-laki; om,Kinship,,,1984,
judge,,judge,hakim,Law,,,861,
smooth,,smooth,licin; halus,Sense perception,,,1234,
rotten,,rotten,(buah) busuk,Food and drink,NOT ‘smelly’ if there are different words for both.,,1728,
to_bury,,bury,kubur,The body,,,1719,
fish,,fish,ikan,Animals,,,227,
to_divide,,divide,bagi,Spatial relations,,,1119,
arrow,,arrow,(anak) panah,Warfare and hunting,,,977,
to_bathe_a_child,,bathe (a child),kasih mandi (anak),The body,,,3170,"Concepticon has the related concept BATHE 138 (which is A=P, here we have A≠P)"
sacrifice,,sacrifice,korban,Religion and belief,,,1103,
butterfly,,butterfly,kupu-kupu,Animals,,,1791,
above,,above,atas,Spatial relations,"If there are different words for the place and the direction, elicit both and annotate.",,2379,
eighteen,,eighteen,delapan belas,Quantity,,,1713,
wing,,wing,sayap,The body,,,1257,
now,,now,sekarang,Time,,,1376,
to_run,,run,lari,Motion,,,1519,
to_rule,,rule; govern,memerintah,Social and political relations,,,382,
cloud,,cloud,awan,The physical world,,,1489,
spear,,spear,tombak,Warfare and hunting,,,945,
1sg,,1sg,saya,Kinship,,,1209,
cheek,,cheek,pipi,The body,,,1730,
floor,,floor,lantai,The house,,,1632,
flower,,flower (e.g. in a tree),bunga (di pohon),Agriculture and vegetation,,,239,Keraf: ‘flower’
to_fall_over,,fall over,tumbang,Motion,,,1280,
to_whisper,,whisper,berbisik,Speech and language,,,55,
corn_maize,,corn; maize,jagung,Agriculture and vegetation,,,506,
meeting_house,,meeting house,rumah rapat adat,The house,,,335,
ninety,,ninety,sembilan puluh,Quantity,,,1724,
to_own,,own,memiliki,Possession,,,684,
to_be_silent,,be silent,diam,Speech and language,,,48,
six,,six,enam,Quantity,,,1703,
sail,,sail; sailcloth,layar,Motion,,,786,
hand,,hand,tangan,The body,,,1277,
new,,new (house),(rumah) baru,Time,,,1231,
door,,door,pintu,The house,,,1567,
person,,person,orang,Kinship,"Not 'manusia' (human being). Elicit 'orang' with a numeral, for example 'ada satu orang, dua orang, tiga orang...'",,683,
to_vomit,,vomit,muntah,The body,,,1278,
itchy,,itchy,gatal,Sense perception,,,149,
to_ask_question,,ask (question),tanya,Speech and language,,,1309,
mosquito,,mosquito,nyamuk,Animals,,,1509,
to_invite,,invite,mengundang,Social and political relations,,,1611,
yellow,,yellow,kuning,Sense perception,,,1424,
to_yawn,,yawn,kuap,The body,,,1028,
meat,,flesh; meat,daging,The body,,,634,
rich,,rich,kaya,Possession,,,712,
blunt,,blunt; dull,tumpul; dol,Sense perception,,,379,
to_blow,,blow,tiup,Motion,,,176,
coral_reef,,(coral) reef,karang,The physical world,,,660,
if,,if,kalau,Cognition,,,1459,
womans_younger_sister,,woman's younger sister,adik perempuan dari perempuan,Kinship,,,2421,
dry_in_sun,,dry (in sun),jemur (pakaian),Sense perception,,,2015,
one_hundred,,one hundred,seratus,Quantity,,,1634,
milk,,milk,susu,Food and drink,,,635,
finished,,finished,selesai,Time,,,1766,
waist,,waist,pinggang,The body,,,1681,
wrong,,wrong,salah,Emotions and values,,,1390,
to_pray,,pray,berdoa,Religion and belief,,,24,
breast,,breast,susu; buah dada,The body,,,1402,
uncooked_rice,,husked rice; uncooked rice,beras,Agriculture and vegetation,,,926,
to_chase_away_to_run_after,,chase; run after,mengejar,Motion,,,1085,
how,,how?,bagaimana?,Cognition,,,1239,
to_accuse,,to_accuse,menuduh,Law,,,1814,
all,,all,semua,Quantity,,,98,
fire,,fire,api,The physical world,,,221,
scorpion,,scorpion,kalajengking,Animals,,,1538,
empty,,empty,kosong,Quantity,,,1624,
civet_cat,,civet,musang,Animals,,,3157,
wet,,wet,basah,Sense perception,,,1726,
betel_vine,,betel vine,sirih,Agriculture and vegetation,,,117,
breadfruit,,breadfruit,sukun,Agriculture and vegetation,,,2371,
vagina,,vagina,kemaluan perupuan,The body,"Often taboo. Be sensitive, explain: ini sehingga anggota tubuh semua  bisa dimasukkan dalam dalam kamus, itu saja, jangan marah bapak? If they still remain silent, skip. ",,1836,
field,,field,padang rumput,Agriculture and vegetation,,,212,
seven,,seven,tujuh,Quantity,,,1704,
left_side,,left (side),kiri,Spatial relations,,,244,
rope,,rope,tali,Basic actions and technology,,,1218,
clay,,clay,tanah liat,The physical world,,,1399,
foot,,foot,kaki,The body,,,1301,
to_trade,,trade; barter,berdagang,Possession,,,2135,
when,,when?,kapan?,Cognition,,,1238,Keraf: ‘bilamana’
to_stand,,stand,diri,Spatial relations,,,1442,
to_wake_up,,wake up,bangun,The body,,,1602,
to_grasp,,grasp,memegang,Possession,,,2021,
to_dwell,,dwell; live; stay,tinggal,The house,,,363,
rat,,rat,tikus,Animals,,,1490,
lime,,lime,kapur,Agriculture and vegetation,,,2540,
guilty,,guilty,bersalah,Law,,,1682,
chicken,,chicken,ayam,Animals,,,1318,
short,,short (objects or people),pendek,Spatial relations,"If the word for ‘short stick’ and ‘short man’ differ, elicit both. Do not elicit ‘short time’.",,1645,Keraf: ‘pendek’
blood,,blood,darah,The body,,,946,
thirsty,,thirsty,haus,Food and drink,,,847,
animal,,animal,binatang,Animals,"If they ask which animals, say 'kata untuk .... seperti sapi, ayam, kambing.' (If they also have a different word for animals that are not eaten, e.g. rats (tikus) or snakes (ular), then that is NOT the word we look for.) ",,619,
sweat,,sweat,keringat,The body,,,125,
urine,,urine,air kencing,,,,1142,
pestle,,rice pestle,alu,,,,225,
to_cough,,cough,batuk,,,,879,
in_front_of,,in front of,di depan,,,,1883,
outside,,outside,di luar,,,,762,
thorn,,thorn,duri,,,,124,
sugar,,sugar,gula,,,,862,
mortar,,rice mortar,lesung,,,,224,
leech,,leech,lintah,,,,949,
sleepy,,sleepy,mengantuk,,,,1757,
pregnant,,pregnant,mengandung,,,,1123,
face,,face,muka,,,,1560,
brain,,brain,otak,,,,1583,
carry,,carry,pikul,,,,413,
edge,,edge,pinggir,,,,863,
guest,,guest,tamu,,,,1782,
coconut_shell,,coconut shell,tempurung,,,,,
